#	NPC基础属性表						
#	Id		MaxHPBase	PhysicalAttackBase	PhysicalDefenseBase	MagicAttackBase	MagicDefenseBase
#	int		int	int	int	int	int
#	NPC等级编号	策划备注	基础生命值	基础物理攻击	基础物理防御	基础法术攻击	基础法术防御
	1		137	7	7	7	7
	2		177	10	10	10	10
	3		217	12	12	12	12
	4		257	15	15	15	15
	5		297	17	17	17	17
	6		337	20	20	20	20
	7		377	22	22	22	22
	8		417	24	24	24	24
	9		457	27	27	27	27
	10		497	29	29	29	29
	11		537	32	32	32	32
	12		577	34	34	34	34
	13		617	37	37	37	37
	14		657	39	39	39	39
	15		697	42	42	42	42
	16		747	44	44	44	44
	17		797	46	46	46	46
	18		847	49	49	49	49
	19		897	51	51	51	51
	20		953	54	54	54	54
	21		1009	56	56	56	56
	22		1065	59	59	59	59
	23		1121	61	61	61	61
	24		1177	64	64	64	64
	25		1233	66	66	66	66
	26		1289	68	68	68	68
	27		1345	71	71	71	71
	28		1401	73	73	73	73
	29		1457	76	76	76	76
	30		1513	78	78	78	78
	31		1569	81	81	81	81
	32		1625	83	83	83	83
	33		1681	86	86	86	86
	34		1737	88	88	88	88
	35		1793	90	90	90	90
	36		1849	93	93	93	93
	37		1905	95	95	95	95
	38		1961	98	98	98	98
	39		2017	100	100	100	100
	40		2073	103	103	103	103
	41		2133	105	105	105	105
	42		2193	108	108	108	108
	43		2253	110	110	110	110
	44		2313	112	112	112	112
	45		2373	115	115	115	115
	46		2433	117	117	117	117
	47		2493	120	120	120	120
	48		2553	122	122	122	122
	49		2613	125	125	125	125
	50		2673	127	127	127	127
	51		2729	130	130	130	130
	52		2785	132	132	132	132
	53		2841	134	134	134	134
	54		2897	137	137	137	137
	55		2953	139	139	139	139
	56		3009	142	142	142	142
	57		3065	144	144	144	144
	58		3121	147	147	147	147
	59		3177	149	149	149	149
	60		3229	152	152	152	152
	61		3279	154	154	154	154
	62		3329	156	156	156	156
	63		3379	159	159	159	159
	64		3429	161	161	161	161
	65		3479	164	164	164	164
	66		3529	166	166	166	166
	67		3579	169	169	169	169
	68		3629	171	171	171	171
	69		3679	174	174	174	174
	70		3729	176	176	176	176
	71		3779	178	178	178	178
	72		3829	181	181	181	181
	73		3879	183	183	183	183
	74		3929	186	186	186	186
	75		3979	188	188	188	188
	76		4029	191	191	191	191
	77		4079	193	193	193	193
	78		4129	196	196	196	196
	79		4179	198	198	198	198
	80		4239	200	200	200	200
	81		4299	203	203	203	203
	82		4359	205	205	205	205
	83		4419	208	208	208	208
	84		4479	210	210	210	210
	85		4539	213	213	213	213
	86		4599	215	215	215	215
	87		4659	218	218	218	218
	88		4719	220	220	220	220
	89		4779	222	222	222	222
	90		4839	225	225	225	225
	91		4899	227	227	227	227
	92		4959	230	230	230	230
	93		5019	232	232	232	232
	94		5079	235	235	235	235
	95		5139	237	237	237	237
	96		5199	240	240	240	240
	97		5259	242	242	242	242
	98		5319	244	244	244	244
	99		5379	247	247	247	247
	100		5439	249	249	249	249
