#	技能升级表									
#	Id		HeroType	SkillIndex	SkillLevel	CoinCost	CostEXP	RequiresHeroStarLevel	RequiresHeroLevel	MightParam
#	int		int	int	int	int	int	int	int	int
#	技能编号	策划备注	英雄编号	技能索引	技能等级	金币消耗	升级需要经验	需求英雄星级	需求英雄等级	战斗力参数
	1000101	亚瑟王连续技LV1	1	0	1	100	1000	0	0	10
	1000102	亚瑟王连续技LV2	1	0	2	1000	5000	0	0	10
	1000103	亚瑟王连续技LV3	1	0	3	5000	12000	0	0	10
	1000104	亚瑟王连续技LV4	1	0	4	18888	30000	0	0	10
	1000105	亚瑟王连续技LV5	1	0	5	66666	80000	0	0	10
	1000601	亚瑟王技能1直线AOElv1	1	1	1	150	1000	0	0	10
	1000602	亚瑟王技能1直线AOElv2	1	1	2	1800	5000	0	0	10
	1000603	亚瑟王技能1直线AOElv3	1	1	3	6823	12000	0	0	10
	1000604	亚瑟王技能1直线AOElv4	1	1	4	21000	30000	0	0	10
	1000605	亚瑟王技能1直线AOElv5	1	1	5	68888	80000	0	0	10
	1000701	亚瑟王技能2原地连击lv1	1	2	1	150	2000	0	10	10
	1000702	亚瑟王技能2原地连击lv2	1	2	2	1800	7000	0	10	10
	1000703	亚瑟王技能2原地连击lv3	1	2	3	6823	15000	0	10	10
	1000704	亚瑟王技能2原地连击lv4	1	2	4	21000	40000	0	10	10
	1000705	亚瑟王技能2原地连击lv5	1	2	5	68888	99999	0	10	10
	1000801	亚瑟王技能3突击lv1	1	3	1	1000	2000	3	15	10
	1000802	亚瑟王技能3突击lv2	1	3	2	5000	7000	3	15	10
	1000803	亚瑟王技能3突击lv3	1	3	3	12000	15000	3	15	10
	1000804	亚瑟王技能3突击lv4	1	3	4	30000	40000	3	15	10
	1000805	亚瑟王技能3突击lv5	1	3	5	89999	99999	3	15	10
	1000901	亚瑟王切换技原地连击+直线AOElv1	1	9	1	1000	2000	0	0	10
	1000902	亚瑟王切换技原地连击+直线AOElv2	1	9	2	5000	7000	0	0	10
	1000903	亚瑟王切换技原地连击+直线AOElv3	1	9	3	12000	15000	0	0	10
	1000904	亚瑟王切换技原地连击+直线AOElv4	1	9	4	30000	40000	0	0	10
	1000905	亚瑟王切换技原地连击+直线AOElv5	1	9	5	89999	99999	0	0	10
	1008801	亚瑟王闪避	1	4	1	10000	1000	0	0	10
	1010101	荆轲连续技第1击lv1	2	0	1	100	1000	0	0	10
	1010102	荆轲连续技第1击lv2	2	0	2	1000	5000	0	0	10
	1010103	荆轲连续技第1击lv3	2	0	3	5000	12000	0	0	10
	1010104	荆轲连续技第1击lv4	2	0	4	18888	30000	0	0	10
	1010105	荆轲连续技第1击lv5	2	0	5	66666	80000	0	0	10
	1010601	荆轲技能1吸怪lv1	2	2	1	150	1000	0	0	10
	1010602	荆轲技能1吸怪lv2	2	2	2	1800	5000	0	0	10
	1010603	荆轲技能1吸怪lv3	2	2	3	6823	12000	0	0	10
	1010604	荆轲技能1吸怪lv4	2	2	4	21000	30000	0	0	10
	1010605	荆轲技能1吸怪lv5	2	2	5	68888	80000	0	0	10
	1010701	荆轲技能2Z型突刺lv1	2	1	1	150	2000	0	10	10
	1010702	荆轲技能2Z型突刺lv2	2	1	2	1800	7000	0	10	10
	1010703	荆轲技能2Z型突刺lv3	2	1	3	6823	15000	0	10	10
	1010704	荆轲技能2Z型突刺lv4	2	1	4	21000	40000	0	10	10
	1010705	荆轲技能2Z型突刺lv5	2	1	5	68888	99999	0	10	10
	1010801	荆轲技能3快速闪烁AOElv1	2	3	1	1000	2000	3	15	10
	1010802	荆轲技能3快速闪烁AOElv2	2	3	2	5000	7000	3	15	10
	1010803	荆轲技能3快速闪烁AOElv3	2	3	3	12000	15000	3	15	10
	1010804	荆轲技能3快速闪烁AOElv4	2	3	4	30000	40000	3	15	10
	1010805	荆轲技能3快速闪烁AOElv5	2	3	5	89999	99999	3	15	10
	1010901	荆轲切换技砸地AOElv1	2	9	1	1000	2000	0	0	10
	1010902	荆轲切换技砸地AOElv2	2	9	2	5000	7000	0	0	10
	1010903	荆轲切换技砸地AOElv3	2	9	3	12000	15000	0	0	10
	1010904	荆轲切换技砸地AOElv4	2	9	4	30000	40000	0	0	10
	1010905	荆轲切换技砸地AOElv5	2	9	5	89999	99999	0	0	10
	1018801	荆轲闪避技	2	4	1	10000	1000	0	0	10
	1020101	狮心王连续技第1击lv1	3	0	1	100	1000	0	0	10
	1020102	狮心王连续技第1击lv2	3	0	2	1000	5000	0	0	10
	1020103	狮心王连续技第1击lv3	3	0	3	5000	12000	0	0	10
	1020104	狮心王连续技第1击lv4	3	0	4	18888	30000	0	0	10
	1020105	狮心王连续技第1击lv5	3	0	5	66666	80000	0	0	10
	1020501	狮心王技能1lv1	3	1	1	150	1000	0	0	10
	1020502	狮心王技能1lv2	3	1	2	1800	5000	0	0	10
	1020503	狮心王技能1lv3	3	1	3	6823	12000	0	0	10
	1020504	狮心王技能1lv4	3	1	4	21000	30000	0	0	10
	1020505	狮心王技能1lv5	3	1	5	68888	80000	0	0	10
