#	玩家基础属性表		
#	Id		LevelUpExp
#	int		int
#	玩家等级编号	策划备注	升级所需经验
	1		130
	2		490
	3		1210
	4		2470
	5		4450
	6		7330
	7		11290
	8		16510
	9		23170
	10		31450
	11		41530
	12		53590
	13		67810
	14		84370
	15		103450
	16		125230
	17		149890
	18		177610
	19		208570
	20		242950
	21		280930
	22		322690
	23		368410
	24		418270
	25		472450
	26		531130
	27		594490
	28		662710
	29		735970
	30		814450
	31		898330
	32		987790
	33		1083010
	34		1184170
	35		1291450
	36		1405030
	37		1525090
	38		1651810
	39		1785370
	40		1925950
	41		2073730
	42		2228890
	43		2391610
	44		2562070
	45		2740450
	46		2926930
	47		3121690
	48		3324910
	49		3536770
	50		3757450
	51		3987130
	52		4225990
	53		4474210
	54		4731970
	55		4999450
	56		5276830
	57		5564290
	58		5862010
	59		6170170
	60		6488950
	61		6818530
	62		7159090
	63		7510810
	64		7873870
	65		8248450
	66		8634730
	67		9032890
	68		9443110
	69		9865570
	70		10300450
	71		10747930
	72		11208190
	73		11681410
	74		12167770
	75		12667450
	76		13180630
	77		13707490
	78		14248210
	79		14802970
	80		15371950
