#	技能组配置表																							
#	Id		IsInCombo	IsContinualTap	SkillId0	SkillId1	SkillId2	SkillId3	SkillId4	SkillId5	SkillId6	SkillId7	SkillId8	SkillId9	SkillId10	SkillId11	SkillId12	SkillId13	SkillId14	SkillId15	SkillId16	SkillId17	SkillId18	SkillId19
#	int		bool	bool	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
#	技能组编号	策划备注	是否为连续技的一部分	是否为连续点击技能	技能1级编号	技能2级编号	技能3级编号	技能4级编号	技能5级编号	技能6级编号	技能7级编号	技能8级编号	技能9级编号	技能10级编号	技能11级编号	技能12级编号	技能13级编号	技能14级编号	技能15级编号	技能16级编号	技能17级编号	技能18级编号	技能19级编号	技能20级编号
	10001	亚瑟连续技第1击	TRUE	FALSE	1000101	1000102	1000103	1000104	1000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10002	亚瑟连续技第2击	TRUE	FALSE	1000201	1000202	1000203	1000204	1000205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10003	亚瑟连续技第3击	TRUE	FALSE	1000301	1000302	1000303	1000304	1000305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10004	亚瑟连续技第4击	TRUE	FALSE	1000401	1000402	1000403	1000404	1000405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10005	亚瑟连续技第5击	TRUE	FALSE	1000501	1000502	1000503	1000504	1000505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10006	亚瑟王技能1直线AOE	FALSE	FALSE	1000601	1000602	1000603	1000604	1000605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10007	亚瑟王技能2原地连击	FALSE	TRUE	1000701	1000702	1000703	1000704	1000705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10008	亚瑟王技能3风火轮	FALSE	FALSE	1000801	1000802	1000803	1000804	1000805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10009	亚瑟王切换技原地连击+直线AOE	FALSE	FALSE	1000901	1000902	1000903	1000904	1000905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10088	亚瑟躲闪技	FALSE	FALSE	1008801	1008801	1008801	1008801	1008801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
