#	英雄基础属性表							
#	Id		LevelUpExp	MaxHPBase	PhysicalAttackBase	PhysicalDefenseBase	MagicAttackBase	MagicDefenseBase
#	int		int	int	int	int	int	int
#	英雄等级编号	策划备注	升级所需经验	基础生命值	基础物理攻击	基础物理防御	基础法术攻击	基础法术防御
	1		165	137	7	7	7	7
	2		585	177	10	10	10	10
	3		1425	217	12	12	12	12
	4		2895	257	15	15	15	15
	5		5205	297	17	17	17	17
	6		8565	337	20	20	20	20
	7		13185	377	22	22	22	22
	8		19275	417	24	24	24	24
	9		27045	457	27	27	27	27
	10		36705	497	29	29	29	29
	11		48465	537	32	32	32	32
	12		62535	577	34	34	34	34
	13		79125	617	37	37	37	37
	14		98445	657	39	39	39	39
	15		120705	697	42	42	42	42
	16		146115	747	44	44	44	44
	17		174885	797	46	46	46	46
	18		207225	847	49	49	49	49
	19		243345	897	51	51	51	51
	20		283455	953	54	54	54	54
	21		327765	1009	56	56	56	56
	22		376485	1065	59	59	59	59
	23		429825	1121	61	61	61	61
	24		487995	1177	64	64	64	64
	25		551205	1233	66	66	66	66
	26		619665	1289	68	68	68	68
	27		693585	1345	71	71	71	71
	28		773175	1401	73	73	73	73
	29		858645	1457	76	76	76	76
	30		950205	1513	78	78	78	78
	31		1048065	1569	81	81	81	81
	32		1152435	1625	83	83	83	83
	33		1263525	1681	86	86	86	86
	34		1381545	1737	88	88	88	88
	35		1506705	1793	90	90	90	90
	36		1639215	1849	93	93	93	93
	37		1779285	1905	95	95	95	95
	38		1927125	1961	98	98	98	98
	39		2082945	2017	100	100	100	100
	40		2246955	2073	103	103	103	103
	41		2419365	2133	105	105	105	105
	42		2600385	2193	108	108	108	108
	43		2790225	2253	110	110	110	110
	44		2989095	2313	112	112	112	112
	45		3197205	2373	115	115	115	115
	46		3414765	2433	117	117	117	117
	47		3641985	2493	120	120	120	120
	48		3879075	2553	122	122	122	122
	49		4126245	2613	125	125	125	125
	50		4383705	2673	127	127	127	127
	51		4651665	2729	130	130	130	130
	52		4930335	2785	132	132	132	132
	53		5219925	2841	134	134	134	134
	54		5520645	2897	137	137	137	137
	55		5832705	2953	139	139	139	139
	56		6156315	3009	142	142	142	142
	57		6491685	3065	144	144	144	144
	58		6839025	3121	147	147	147	147
	59		7198545	3177	149	149	149	149
	60		7570455	3229	152	152	152	152
	61		7954965	3279	154	154	154	154
	62		8352285	3329	156	156	156	156
	63		8762625	3379	159	159	159	159
	64		9186195	3429	161	161	161	161
	65		9623205	3479	164	164	164	164
	66		10073865	3529	166	166	166	166
	67		10538385	3579	169	169	169	169
	68		11016975	3629	171	171	171	171
	69		11509845	3679	174	174	174	174
	70		12017205	3729	176	176	176	176
	71		12539265	3779	178	178	178	178
	72		13076235	3829	181	181	181	181
	73		13628325	3879	183	183	183	183
	74		14195745	3929	186	186	186	186
	75		14778705	3979	188	188	188	188
	76		15377415	4029	191	191	191	191
	77		15992085	4079	193	193	193	193
	78		16622925	4129	196	196	196	196
	79		17270145	4179	198	198	198	198
	80		17933955	4239	200	200	200	200
