#	角色动作表																																																									
#	Id		Idle	Stand	Run	Hit	HitStrong	HitAir	HitAirStrong	Float	Falling	FallDown	StandUp	Stun	Rotate	BlownAway	BlownAwayFalling	Dying	Dead	FakeDying	FakeDead	StandUpAfterFakeDeath	Entering	DistanceAssist	ModelShowDebut	ModelShowStand	ModelInteraction1	ModelInteraction2	ModelInteraction3	Attack1	Attack2	Attack3	Attack4	Attack5	Skill1	Skill2	Skill3	Skill4	Skill5	Skill6	Skill7	Skill8	Skill9	Skill10	Skill11	Skill12	Skill13	Skill14	Skill15	Skill16	Skill17	Skill18	Skill19	Skill20	LingeringLeft	LingeringRight	ModelShowDebut	ModelShowStand
#	int		float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float
#	模型编号	策划备注	休闲动作名称	站立动作名称	跑步动作名称	受击动作名称	重受击动作名称	浮空受击动作名称	空中强力打击重击弹地	浮空动作名称	下落动作名称	倒地动作名称	起身动作名称	眩晕动作名称	旋转动作名称	击飞动作名称	击飞下落	死亡动作名称	死亡后动作名称	假死动作名称	假死后动作名称	假死后起身动作名称	出场动作名称	距离辅助攻击动作名称（暂时没用）	展示模型用的出场动作名称	展示模型用的站立动作名称	与展示模型互动的动作名称	与展示模型互动的动作名称	与展示模型互动的动作名称	连续攻击第一段动作名称	连续攻击第二段动作名称	连续攻击第三段动作名称	连续攻击第四段动作名称	连续攻击第五段动作名称	固定技能一动作名称	固定技能二动作名称	固定技能三动作名称	固定技能四动作名称	固定技能五动作名称	固定技能六动作名称	固定技能七动作名称	固定技能八动作名称	固定技能九动作名称	固定技能十动作名称	固定技能十一动作名称	固定技能十二动作名称	固定技能十三动作名称	固定技能十四动作名称	固定技能十五动作名称	固定技能十六动作名称	固定技能十七动作名称	固定技能十八动作名称	固定技能十九动作名称	固定技能二十动作名称	左徘徊	右徘徊	展示模型用的出场动作名称	展示模型用的站立动作名称
	100	亚瑟王	0.3	0.2	0.2	0	0	0	0.1	0	0.2	0.2	0.2	0	0	0	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.3	0.3
	101	荆轲	0.3	0.2	0.2	0	0	0	0.1	0	0.2	0.2	0.2	0	0	0	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.3	0.3
	102	狮心王	0.3	0.2	0.2	0	0	0	0.1	0	0.2	0.2	0.2	0	0	0	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.3	0.3
	103	卡特琳娜	0.3	0.2	0.2	0	0	0	0.1	0	0.2	0.2	0.2	0	0	0	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.3	0.3
	104	梅林	0.3	0.2	0.2	0	0	0	0.1	0	0.2	0.2	0.2	0	0	0	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.3	0.3
	105	凯撒	0.3	0.2	0.2	0	0	0	0.1	0	0.2	0.2	0.2	0	0	0	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.3	0.3
	106	黑胡子	0.3	0.2	0.2	0	0	0	0.1	0	0.2	0.2	0.2	0	0	0	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.3	0.3
	107	斯巴达克斯	0.3	0.2	0.2	0	0	0	0.1	0	0.2	0.2	0.2	0	0	0	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.3	0.3
	108	花木兰	0.3	0.2	0.2	0	0	0	0.1	0	0.2	0.2	0.2	0	0	0	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.3	0.3
	109	血腥玛丽	0.3	0.2	0.2	0	0	0	0.1	0	0.2	0.2	0.2	0	0	0	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.3	0.3
