#	英雄飞升基础属性表																	
#	Id		LevelUpItemId	LevelUpItemCount	LevelUpGearType1	LevelUpGearMinQuality1	LevelUpGearType2	LevelUpGearMinQuality2	LevelUpGearType3	LevelUpGearMinQuality3	LevelUpGearType4	LevelUpGearMinQuality4	MaxHPBase	PhysicalAttackBase	PhysicalDefenseBase	MagicAttackBase	MagicDefenseBase	RecoverHPBase
#	int		int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	float
#	英雄飞升等级编号	策划备注	升级所需道具编号	升级所需道具数量	升级所需装备类型1	升级所需装备最低品质1	升级所需装备类型2	升级所需装备最低品质2	升级所需装备类型3	升级所需装备最低品质3	升级所需装备类型4	升级所需装备最低品质4	基础生命值	基础物理攻击	基础物理防御	基础法术攻击	基础法术防御	基础待战回血
	0		203502	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
	1		203502	2	1	1	-1	-1	-1	-1	-1	-1	558	186	93	186	93	57
	2		203502	3	1	2	-1	-1	-1	-1	-1	-1	828	252	138	252	138	84
	3		203502	4	1	2	-1	-1	-1	-1	-1	-1	1098	318	183	318	183	111
	4		203502	5	1	3	-1	-1	-1	-1	-1	-1	1368	384	228	384	228	138
	5		203502	6	1	3	-1	-1	-1	-1	-1	-1	1638	450	273	450	273	165
	6		203502	7	1	3	-1	-1	-1	-1	-1	-1	1908	516	318	516	318	192
	7		203502	8	1	3	-1	-1	-1	-1	-1	-1	2178	582	363	582	363	219
	8		203502	9	1	4	-1	-1	-1	-1	-1	-1	2448	648	408	648	408	246
	9		203502	10	1	4	-1	-1	-1	-1	-1	-1	2718	714	453	714	453	273
	10		203502	11	1	4	-1	-1	-1	-1	-1	-1	2988	780	498	780	498	300
	11		203502	12	1	4	-1	-1	-1	-1	-1	-1	3258	846	543	846	543	327
	12		203502	13	1	5	-1	-1	-1	-1	-1	-1	3528	912	588	912	588	354
	13		203502	14	1	5	-1	-1	-1	-1	-1	-1	3798	978	633	978	633	381
	14		203502	15	1	5	-1	-1	-1	-1	-1	-1	4068	1044	678	1044	678	408
	15		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4338	1110	723	1110	723	435
