#	英雄基础属性表							
#	Id		LevelUpExp	MaxHPBase	PhysicalAttackBase	PhysicalDefenseBase	MagicAttackBase	MagicDefenseBase
#	int		int	int	int	int	int	int
#	英雄等级编号	策划备注	升级所需经验	基础生命值	基础物理攻击	基础物理防御	基础法术攻击	基础法术防御
	1		165	24	7	4	7	4
	2		585	31	10	5	10	5
	3		1425	38	12	6	12	6
	4		2895	45	15	8	15	8
	5		5205	53	17	9	17	9
	6		8565	60	20	10	20	10
	7		13185	67	22	11	22	11
	8		19275	74	24	12	24	12
	9		27045	82	27	14	27	14
	10		36705	89	29	15	29	15
	11		48465	96	32	16	32	16
	12		62535	103	34	17	34	17
	13		79125	110	37	19	37	19
	14		98445	118	39	20	39	20
	15		120705	125	42	21	42	21
	16		146115	133	44	22	44	22
	17		174885	140	46	23	46	23
	18		207225	147	49	25	49	25
	19		243345	154	51	26	51	26
	20		283455	162	54	27	54	27
	21		327765	169	56	28	56	28
	22		376485	176	59	30	59	30
	23		429825	183	61	31	61	31
	24		487995	190	64	32	64	32
	25		551205	198	66	33	66	33
	26		619665	205	68	34	68	34
	27		693585	213	71	36	71	36
	28		773175	220	73	37	73	37
	29		858645	227	76	38	76	38
	30		950205	234	78	39	78	39
	31		1048065	242	81	41	81	41
	32		1152435	249	83	42	83	42
	33		1263525	256	86	43	86	43
	34		1381545	263	88	44	88	44
	35		1506705	270	90	45	90	45
	36		1639215	278	93	47	93	47
	37		1779285	285	95	48	95	48
	38		1927125	292	98	49	98	49
	39		2082945	299	100	50	100	50
	40		2246955	307	103	52	103	52
	41		2419365	314	105	53	105	53
	42		2600385	322	108	54	108	54
	43		2790225	329	110	55	110	55
	44		2989095	336	112	56	112	56
	45		3197205	343	115	58	115	58
	46		3414765	350	117	59	117	59
	47		3641985	358	120	60	120	60
	48		3879075	365	122	61	122	61
	49		4126245	372	125	63	125	63
	50		4383705	379	127	64	127	64
	51		4651665	387	130	65	130	65
	52		4930335	394	132	66	132	66
	53		5219925	402	134	67	134	67
	54		5520645	409	137	69	137	69
	55		5832705	416	139	70	139	70
	56		6156315	423	142	71	142	71
	57		6491685	430	144	72	144	72
	58		6839025	438	147	74	147	74
	59		7198545	445	149	75	149	75
	60		7570455	452	152	76	152	76
	61		7954965	459	154	77	154	77
	62		8352285	467	156	78	156	78
	63		8762625	474	159	80	159	80
	64		9186195	481	161	81	161	81
	65		9623205	489	164	82	164	82
	66		10073865	496	166	83	166	83
	67		10538385	503	169	85	169	85
	68		11016975	510	171	86	171	86
	69		11509845	518	174	87	174	87
	70		12017205	525	176	88	176	88
	71		12539265	532	178	89	178	89
	72		13076235	539	181	91	181	91
	73		13628325	547	183	92	183	92
	74		14195745	554	186	93	186	93
	75		14778705	561	188	94	188	94
	76		15377415	568	191	96	191	96
	77		15992085	576	193	97	193	97
	78		16622925	583	196	98	196	98
	79		17270145	590	198	99	198	99
	80		17933955	598	200	100	200	100
