#			VIP商城配置表				
#	Id		DropItemId	DropItemCount	CurrencyType	CurrencyPrice	
#	int		int	int	int	int	
#	编号	策划备注	掉落物品编号1	掉落物品个数1	购买类型	购买价格	
	1	亚瑟王碎片	201401	5	5	500	 
	2	荆轲碎片	201402	5	5	500	
	3	狮心王碎片	201403	5	5	500	
	4	卡特琳娜碎片	201404	5	5	500	
	5	梅林碎片	201405	5	5	500	
	6	凯撒碎片	201406	5	5	500	
	7	黑胡子碎片	201407	5	5	500	
	8	斯巴达克斯碎片	201408	5	5	500	
	9	花木兰碎片	201409	5	5	500	
	10	血腥玛丽碎片	201410	5	5	500	
	11	贞德碎片	201411	5	5	500	
	12	杰克碎片	201412	5	5	500	
	13	达芬奇碎片	201413	5	5	500	
	14	范海辛碎片	201414	5	5	500	
	15	埃及艳后碎片	201415	5	5	500	
	16	岳飞碎片	201416	5	5	500	
	17	佐罗碎片	201417	5	5	500	
	18	项羽碎片	201418	5	5	500	
	19	罗宾汉碎片	201419	5	5	500	
	20	虞姬碎片	201420	5	5	500	
	21	亚瑟王碎片	201401	10	5	1000	
	22	荆轲碎片	201402	10	5	1000	
	23	狮心王碎片	201403	10	5	1000	
	24	卡特琳娜碎片	201404	10	5	1000	
	25	梅林碎片	201405	10	5	1000	
	26	凯撒碎片	201406	10	5	1000	
	27	黑胡子碎片	201407	10	5	1000	
	28	斯巴达克斯碎片	201408	10	5	1000	
	29	花木兰碎片	201409	10	5	1000	
	30	血腥玛丽碎片	201410	10	5	1000	
	31	贞德碎片	201411	10	5	1000	
	32	杰克碎片	201412	10	5	1000	
	33	达芬奇碎片	201413	10	5	1000	
	34	范海辛碎片	201414	10	5	1000	
	35	埃及艳后碎片	201415	10	5	1000	
	36	岳飞碎片	201416	10	5	1000	
	37	佐罗碎片	201417	10	5	1000	
	38	项羽碎片	201418	10	5	1000	
	39	罗宾汉碎片	201419	10	5	1000	
	40	虞姬碎片	201420	10	5	1000	
	41	飞升丹	203502	5	2	200	
	42	蓝色强化石	203301	1	2	200	
	43	紫色强化石	203401	1	2	500	
	44	蓝品质武器必成符	204301	1	2	500	
	45	蓝品质头盔必成符	204302	1	2	500	
	46	蓝品质铠甲必成符	204303	1	2	500	
	47	蓝品质靴子必成符	204304	1	2	500	
	48	蓝品质项链必成符	204305	1	2	500	
	49	蓝品质戒指必成符	204306	1	2	500	
	50	紫品质武器必成符	204401	1	2	2000	
	51	紫品质头盔必成符	204402	1	2	1000	
	52	紫品质铠甲必成符	204403	1	2	1000	
	53	紫品质靴子必成符	204404	1	2	1000	
	54	紫品质项链必成符	204405	1	2	1000	
	55	紫品质戒指必成符	204406	1	2	1000	
	56	物攻	112001	1	1	3500	
	57	法攻	112002	1	1	3500	
	58	HP+物攻	112003	1	1	3500	
	59	HP+法攻	112004	1	1	3500	
