#	战力等级系数表					
#	Id		PhysicalAttack	PhysicalDefense	MagicAttack	MagicDefense
#	int		int	int	int	int
#	等级	策划备注	物理攻击	物理防御	法术攻击	法术防御
	1		41	21	41	21
	2		58	26	58	26
	3		69	31	69	31
	4		87	42	87	42
	5		98	47	98	47
	6		115	52	115	52
	7		127	57	127	57
	8		138	62	138	62
	9		156	73	156	73
	10		167	78	167	78
	11		184	83	184	83
	12		196	88	196	88
	13		213	98	213	98
	14		225	103	225	103
	15		242	109	242	109
	16		253	114	253	114
	17		265	119	265	119
	18		282	129	282	129
	19		294	134	294	134
	20		311	140	311	140
	21		322	145	322	145
	22		340	155	340	155
	23		351	160	351	160
	24		368	165	368	165
	25		380	170	380	170
	26		391	176	391	176
	27		409	186	409	186
	28		420	191	420	191
	29		437	196	437	196
	30		449	201	449	201
	31		466	212	466	212
	32		478	217	478	217
	33		495	222	495	222
	34		506	227	506	227
	35		518	232	518	232
	36		535	243	535	243
	37		547	248	547	248
	38		564	253	564	253
	39		575	258	575	258
	40		593	268	593	268
	41		604	273	604	273
	42		621	279	621	279
	43		633	284	633	284
	44		644	289	644	289
	45		662	299	662	299
	46		673	304	673	304
	47		690	309	690	309
	48		702	315	702	315
	49		719	325	719	325
	50		731	330	731	330
	51		748	335	748	335
	52		759	340	759	340
	53		771	346	771	346
	54		788	356	788	356
	55		800	361	800	361
	56		817	366	817	366
	57		828	371	828	371
	58		846	382	846	382
	59		857	387	857	387
	60		874	392	874	392
	61		886	397	886	397
	62		897	402	897	402
	63		915	412	915	412
	64		926	418	926	418
	65		943	423	943	423
	66		955	428	955	428
	67		972	438	972	438
	68		984	443	984	443
	69		1001	449	1001	449
	70		1012	454	1012	454
	71		1024	459	1024	459
	72		1041	469	1041	469
	73		1053	474	1053	474
	74		1070	479	1070	479
	75		1081	485	1081	485
	76		1099	495	1099	495
	77		1110	500	1110	500
	78		1127	505	1127	505
	79		1139	510	1139	510
	80		1150	515	1150	515
	81		1168	526	1168	526
	82		1179	531	1179	531
	83		1196	536	1196	536
	84		1208	541	1208	541
	85		1225	552	1225	552
	86		1237	557	1237	557
	87		1254	562	1254	562
	88		1265	567	1265	567
	89		1277	572	1277	572
	90		1294	582	1294	582
	91		1306	588	1306	588
	92		1323	593	1323	593
	93		1334	598	1334	598
	94		1352	608	1352	608
	95		1363	613	1363	613
	96		1380	618	1380	618
	97		1392	624	1392	624
	98		1403	629	1403	629
	99		1421	639	1421	639
	100		1432	644	1432	644
