#	英雄配置表																																															
#	Id		Name	Description	Profession	CharacterId	Scale	IconId	DefaultWeaponSuiteId	DefaultStarLevel	Steady	SteadyRecoverSpeed	SteadyBuffId	DeadDurationBeforeAutoSwitch	AvoidancePriority	CDWhenStart	CDAfterChangeHero	SwitchSkillGroupId	SkillGroupId0	SkillGroupId1	SkillGroupId2	SkillGroupId3	SkillGroupId4	Speed	DamageRandomRate	StarLevelUpItemId	StarFactor1	StarLevelUpItemCount1	StarFactor2	StarLevelUpItemCount2	StarFactor3	StarLevelUpItemCount3	StarFactor4	StarLevelUpItemCount4	StarFactor5	StarLevelUpItemCount5	MaxHPFactor	PhysicalAttackFactor	PhysicalDefenseFactor	MagicAttackFactor	MagicDefenseFactor	AIBehavior	AngerIncreaseRate	CriticalHitProb	CriticalHitRate	FightCharacteristic	ElementId	PortraitTextureId
#	int		string	string	int	int	float	int	int	int	float	float	int	float	int	float	float	int	int	int	int	int	int	float	float	int	float	int	float	int	float	int	float	int	float	int	float	float	float	float	float	string	float	float	float	string	int	int
#	英雄编号	策划备注	英雄名称	英雄描述	职业编号	模型编号	模型缩放比例	头像编号	默认武器套装编号	默认星级	霸体值	霸体值恢复速度	霸体Buff编号	死亡后等待自动切换其他英雄的时间	躲避优先级	初始冷却时间	被切换后冷却时间	切换技能组编号	连续技	技能1	技能2	技能3	技能4	移动速度	伤害浮动比率	英雄升星所需道具编号	一星系数	一星升级所需道具个数	二星系数	二星升级所需道具个数	三星系数	三星升级所需道具个数	四星系数	四星升级所需道具个数	五星系数	五星升级所需道具个数	生命倍率	物理攻击倍率	物理防御倍率	法术攻击倍率	法术防御倍率	AI 行为	怒气上涨率	暴击率	暴击伤害倍数	英雄战斗特点描述	克制属性编号	大头像贴图编号
	1	亚瑟王	HERO_NAME_100	HERO_DESC_100	1	100	1	111017	10101	1	1000	150	11110	2	50	15	28	10009	10001	10006	10007	10008	10088	5.5	0.05	201401	5	10	6.25	30	7.5	60	9	120	11	240	1.225	1.16	1.03	0	1.03	Characters/HeroKingArthur	0	0.5	0.2	HERO_NAME_100	4	1
	2	荆轲	HERO_NAME_101	HERO_DESC_101	2	101	1	111006	10201	1	1000	150	11110	2	50	15	28	10109	10101	10107	10106	10108	10188	6	0.1	201402	5	10	6.25	30	7.5	60	9	120	11	240	1.225	1.16	1.03	0	1.03	Characters/HeroKingArthur	0	0.5	0.2	HERO_NAME_101	5	2
#	3	大锤女汉子	HERO_NAME_102	HERO_DESC_102	3	102	1	111017	10301	1	1000	150	11110	2	50	15	28	10209	10201	10206	10207	10208	10288	6	0.1	201403	5	10	6.25	30	7.5	60	9	120	11	240	1.225	1.16	1.03	0	1.03	Characters/HeroKingArthur	0	0.5	0.2	HERO_NAME_102	4	2
	4	卡特琳娜	HERO_NAME_103	HERO_DESC_103	4	103	1	111007	10401	1	1000	150	11110	2	50	15	28	10308	10301	10305	10307	10306	10388	6	0.05	201404	5	10	6.25	30	7.5	60	9	120	11	240	1.225	1.16	1.03	0	1.03	Characters/HeroKingArthur	0	0.5	0.2	HERO_NAME_103	3	4
	5	梅林	HERO_NAME_104	HERO_DESC_104	5	104	1	111009	10501	1	1000	150	11110	2	50	15	28	10408	10401	10405	10406	10407	10488	5.5	0.05	201405	5	10	6.25	30	7.5	60	9	120	11	240	1.225	0	1.03	1.16	1.03	Characters/HeroKingArthur	0	0.5	0.2	HERO_NAME_104	1	5
#	6	牛魔王	HERO_NAME_105	HERO_DESC_105	1	105	1	111010	10601	1	1000	150	11110	2	50	15	28	10509	10501	10507	10506	10508	10509	5.5	0.05	201406	5	10	6.25	30	7.5	60	9	120	11	240	1.225	1.16	1.03	0	1.03	Characters/HeroKingArthur	0	0.5	0.2	HERO_NAME_105	4	6
#	7	黑胡子	HERO_NAME_106	HERO_DESC_106	2	106	1	111004	10701	1	1000	150	11110	2	50	15	28	10608	10601	10605	10606	10607	10609	5.5	0.05	201407	5	10	6.25	30	7.5	60	9	120	11	240	1.225	1.16	1.03	0	1.03	Characters/HeroKingArthur	0	0.5	0.2	HERO_NAME_106	1	7
	8	链球男	HERO_NAME_107	HERO_DESC_107	5	120	1	111008	10801	1	1000	150	11110	2	50	15	28	10709	10701	10706	10707	10708	10788	5	0.05	201420	5	10	6.25	30	7.5	60	9	120	11	240	1.225	1.16	1.03	0	1.03	Characters/HeroKingArthur	0	0.5	0.2	HERO_NAME_119	3	21
	9	小萝莉	HERO_NAME_108	HERO_DESC_108	4	121	1	111016	10901	1	1000	150	11110	2	50	15	28	10808	10801	10805	10806	10807	10888	5.5	0.05	201409	5	10	6.25	30	7.5	60	9	120	11	240	1.225	0	1.03	1.16	1.03	Characters/HeroKingArthur	0	0.5	0.2	HERO_NAME_108	2	22
#	10	鞭女	HERO_NAME_109	HERO_DESC_109	5	109	1	111018	11001	1	1000	150	11110	2	50	15	28	10908	10901	10906	10907	10908	10909	5.5	0.05	201410	5	10	6.25	30	7.5	60	9	120	11	240	1.225	1.16	1.03	0	1.03	Characters/HeroKingArthur	0	0.5	0.2	HERO_NAME_109	5	10
