#			随机商城配置表				
#	Id		DropItemId	DropItemCount	CurrencyType	CurrencyPrice	
#	int		int	int	int	int	
#	编号	策划备注	掉落物品编号1	掉落物品个数1	购买类型	购买价格	
	1	亚瑟王碎片	201401	5	5	500	 
	2	荆轲碎片	201402	5	5	500	
	3	狮心王碎片	201403	5	5	500	
	4	卡特琳娜碎片	201404	5	5	500	
	5	梅林碎片	201405	5	5	500	
	6	凯撒碎片	201406	5	5	500	
	7	黑胡子碎片	201407	5	5	500	
	8	斯巴达克斯碎片	201408	5	5	500	
	9	花木兰碎片	201409	5	5	500	
	10	贞德碎片	201411	5	5	500	
	11	埃及艳后碎片	201415	5	5	500	
	12	岳飞碎片	201416	5	5	500	
	13	佐罗碎片	201417	5	5	500	
	14	虞姬碎片	201420	5	5	500	
	15	飞升丹	203502	5	2	200	
	16	蓝色强化石	203301	1	2	200	
	17	紫色强化石	203401	1	2	500	
	18	蓝品质武器必成符	204301	1	2	1000	
	19	蓝品质头盔必成符	204302	1	2	1000	
	20	蓝品质铠甲必成符	204303	1	2	1000	
	21	蓝品质靴子必成符	204304	1	2	1000	
	22	蓝品质项链必成符	204305	1	2	1000	
	23	蓝品质戒指必成符	204306	1	2	1000	
	24	紫品质武器必成符	204401	1	2	1000	
	25	紫品质头盔必成符	204402	1	2	1000	
	26	紫品质铠甲必成符	204403	1	2	1000	
	27	紫品质靴子必成符	204404	1	2	1000	
	28	镔铁长棍	112001	1	1	3500	
	29	微风法球	112002	1	1	3500	
	30	突击之矛	112003	1	1	3500	
	31	秘银短锤	112004	1	1	3500	
	32	银鳞盔甲	122001	1	1	3500	
	33	冒险家帽	122002	1	1	3500	
	34	青钢盔甲	122003	1	1	3500	
	35	银鳞铠甲	132001	1	1	3500	
	36	冒险家服	132002	1	1	3500	
	37	青钢铠甲	132003	1	1	3500	
	38	银鳞战靴	142001	1	1	3500	
	39	冒险家靴	142002	1	1	3500	
	40	青钢战靴	142003	1	1	3500	
	41	银鳞指环	152001	1	1	3500	
	42	冒险指环	152002	1	1	3500	
	43	青钢指环	152003	1	1	3500	
	44	银鳞项坠	162001	1	1	3500	
	45	冒险项坠	162002	1	1	3500	
	46	青钢项坠	162003	1	1	3500	
